date,province,country,lat,long,type,cases
02-02-2020,,Algeria,28.0339,1.6596,confirmed,0
03-02-2020,,Algeria,28.0339,1.6596,confirmed,0
04-02-2020,,Algeria,28.0339,1.6596,confirmed,0
05-02-2020,,Algeria,28.0339,1.6596,confirmed,0
06-02-2020,,Algeria,28.0339,1.6596,confirmed,0
07-02-2020,,Algeria,28.0339,1.6596,confirmed,0
08-02-2020,,Algeria,28.0339,1.6596,confirmed,0
09-02-2020,,Algeria,28.0339,1.6596,confirmed,0
10-02-2020,,Algeria,28.0339,1.6596,confirmed,0
11-02-2020,,Algeria,28.0339,1.6596,confirmed,0
12-02-2020,,Algeria,28.0339,1.6596,confirmed,0
13-02-2020,,Algeria,28.0339,1.6596,confirmed,0
14-02-2020,,Algeria,28.0339,1.6596,confirmed,0
15-02-2020,,Algeria,28.0339,1.6596,confirmed,0
16-02-2020,,Algeria,28.0339,1.6596,confirmed,0
17-02-2020,,Algeria,28.0339,1.6596,confirmed,0
18-02-2020,,Algeria,28.0339,1.6596,confirmed,0
19-02-2020,,Algeria,28.0339,1.6596,confirmed,0
20-02-2020,,Algeria,28.0339,1.6596,confirmed,0
21-02-2020,,Algeria,28.0339,1.6596,confirmed,0
22-02-2020,,Algeria,28.0339,1.6596,confirmed,0
23-02-2020,,Algeria,28.0339,1.6596,confirmed,0
24-02-2020,,Algeria,28.0339,1.6596,confirmed,0
25-02-2020,,Algeria,28.0339,1.6596,confirmed,1
26-02-2020,,Algeria,28.0339,1.6596,confirmed,0
27-02-2020,,Algeria,28.0339,1.6596,confirmed,0
28-02-2020,,Algeria,28.0339,1.6596,confirmed,0
29-02-2020,,Algeria,28.0339,1.6596,confirmed,0
01-03-2020,,Algeria,28.0339,1.6596,confirmed,0
02-03-2020,,Algeria,28.0339,1.6596,confirmed,2
03-03-2020,,Algeria,28.0339,1.6596,confirmed,2
04-03-2020,,Algeria,28.0339,1.6596,confirmed,7
05-03-2020,,Algeria,28.0339,1.6596,confirmed,0
06-03-2020,,Algeria,28.0339,1.6596,confirmed,5
07-03-2020,,Algeria,28.0339,1.6596,confirmed,0
08-03-2020,,Algeria,28.0339,1.6596,confirmed,2
09-03-2020,,Algeria,28.0339,1.6596,confirmed,1
10-03-2020,,Algeria,28.0339,1.6596,confirmed,0
11-03-2020,,Algeria,28.0339,1.6596,confirmed,0
